4,44,,,,,
This kind of thing has already happened before.,TRUE,FaceReimu_no,FALSE,Facemaru_no,FALSE,FaceRakukun_no
Some ill-intending youkai used the Miracle Mallet to overthrow the order of Gensokyo.,TRUE,FaceReimu_an,FALSE,Facemaru_no,FALSE,FaceRakukun_no
……,FALSE,FaceReimu_an,TRUE,Facemaru_sw,FALSE,FaceRakukun_no
ᴵᵗ'ˢ ᵃᶫᶫ ˢᵉᶦʲᵃ'ˢ ᶠᵃᵘᶫᵗ﹔ ᶦᵗ'ˢ ᵃᶫᶫ ˢᵉᶦʲᵃ'ˢ ᶠᵃᵘᶫᵗ﹔ ᶦᵗ'ˢ ᵃᶫᶫ ˢᵉᶦʲᵃ'ˢ ᶠᵃᵘᶫᵗ﹔,FALSE,FaceReimu_no,TRUE,Facemaru_sw,FALSE,FaceRakukun_no
ᶦᵗ'ˢ ᵃᶫᶫ ˢᵉᶦʲᵃ'ˢ ᶠᵃᵘᶫᵗ﹔ ᶦᵗ'ˢ ᵃᶫᶫ ˢᵉᶦʲᵃ'ˢ ᶠᵃᵘᶫᵗ﹔ ᶦᵗ'ˢ ᵃᶫᶫ ˢᵉᶦʲᵃ'ˢ ᶠᵃᵘᶫᵗ⋅,FALSE,FaceReimu_no,TRUE,Facemaru_sw,FALSE,FaceRakukun_no
"In short, I won't let the same thing happen a second time",TRUE,FaceReimu_an,FALSE,Facemaru_no,FALSE,FaceRakukun_no
I'll protect Gensokyo's order!,TRUE,FaceReimu_an2,FALSE,Facemaru_no,FALSE,FaceRakukun_no
Is that what happened?,FALSE,FaceReimu_an,FALSE,Facemaru_no,TRUE,FaceRakukun_sw
That's rather stupid.,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_sw
Why would I wish for something like that?,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_dp
So at what cost?,FALSE,FaceReimu_no,TRUE,Facemaru_no,FALSE,FaceRakukun_dp
Cost?,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_sw
I can feel it.,FALSE,FaceReimu_no,TRUE,Facemaru_no2,FALSE,FaceRakukun_sw
The power coming from those meteorites is similar to the Miracle Mallet's.,FALSE,FaceReimu_no,TRUE,Facemaru_no,FALSE,FaceRakukun_no
I used it to become bigger once.,FALSE,FaceReimu_no,TRUE,Facemaru_no2,FALSE,FaceRakukun_no
"In order to achieve your dream, you'll need to pay a high price.",FALSE,FaceReimu_no,TRUE,Facemaru_no,FALSE,FaceRakukun_no
It is indeed the case.,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_dp
The price I need to pay for this seems to be great;,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_dp
"for example,",FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_no
a life.,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_sw
So you plan to sacrifice the lives of others for your goal;,TRUE,FaceReimu_an,FALSE,Facemaru_no,FALSE,FaceRakukun_no
is that part of your plan!?,TRUE,FaceReimu_an2,FALSE,Facemaru_no,FALSE,FaceRakukun_no
I won't let you!,TRUE,FaceReimu_an2,FALSE,Facemaru_no,FALSE,FaceRakukun_no
"Reimu, let's go!",FALSE,FaceReimu_an2,TRUE,Facemaru_an2,FALSE,FaceRakukun_no
"That's just your opinion, anyway.",FALSE,FaceReimu_an,FALSE,Facemaru_an2,TRUE,FaceRakukun_sw
"Sure enough, it's just words.",FALSE,FaceReimu_an,FALSE,Facemaru_an,TRUE,FaceRakukun_dp
O dazzling Star God!,FALSE,FaceReimu_an,FALSE,Facemaru_an,TRUE,FaceRakukun_dp
Convert these shooting stars into magical power!,FALSE,FaceReimu_an,FALSE,Facemaru_an,TRUE,FaceRakukun_dp
Protect my people!,FALSE,FaceReimu_an,FALSE,Facemaru_an,TRUE,FaceRakukun_ct
